ref_area.label,sex.label,classif1.label,time,obs_value
Australia,Male,"Occupation (ISCO-08), 2 digit level: 44 - Other clerical support workers",2023,32.788
Australia,Male,"Occupation (ISCO-08), 2 digit level: 51 - Personal service workers",2023,162.372
Australia,Male,"Occupation (ISCO-08), 2 digit level: 52 - Sales workers",2023,348.439
Australia,Male,"Occupation (ISCO-08), 2 digit level: 53 - Personal care workers",2023,125.357
Australia,Male,"Occupation (ISCO-08), 2 digit level: 54 - Protective services workers",2023,141.332
Australia,Male,"Occupation (ISCO-08), 2 digit level: 61 - Market-oriented skilled agricultural workers",2023,206.959
Australia,Male,"Occupation (ISCO-08), 2 digit level: 62 - Market-oriented skilled forestry, fishery and hunting workers",2023,5.478
Australia,Male,"Occupation (ISCO-08), 2 digit level: 71 - Building and related trades workers, excluding electricians",2023,528.596
Australia,Male,"Occupation (ISCO-08), 2 digit level: 72 - Metal, machinery and related trades workers",2023,358.78
Australia,Male,"Occupation (ISCO-08), 2 digit level: 73 - Handicraft and printing workers",2023,28.563
Australia,Male,"Occupation (ISCO-08), 2 digit level: 74 - Electrical and electronic trades workers",2023,258.808
Australia,Male,"Occupation (ISCO-08), 2 digit level: 75 - Food processing, wood working, garment and other craft and related trades workers",2023,116.247
Australia,Male,"Occupation (ISCO-08), 2 digit level: 81 - Stationary plant and machine operators",2023,172.251
Australia,Male,"Occupation (ISCO-08), 2 digit level: 82 - Assemblers",2023,17.956
Australia,Male,"Occupation (ISCO-08), 2 digit level: 83 - Drivers and mobile plant operators",2023,550.665
Australia,Male,"Occupation (ISCO-08), 2 digit level: 91 - Cleaners and helpers",2023,110.433
Australia,Male,"Occupation (ISCO-08), 2 digit level: 92 - Agricultural, forestry and fishery labourers",2023,72.3
Australia,Male,"Occupation (ISCO-08), 2 digit level: 93 - Labourers in mining, construction, manufacturing and transport",2023,313.695
Australia,Male,"Occupation (ISCO-08), 2 digit level: 94 - Food preparation assistants",2023,101.038
Australia,Male,"Occupation (ISCO-08), 2 digit level: 96 - Refuse workers and other elementary workers",2023,93.661
Australia,Female,"Occupation (ISCO-08), 2 digit level: 11 - Chief executives, senior officials and legislators",2023,39.732
Australia,Female,"Occupation (ISCO-08), 2 digit level: 12 - Administrative and commercial managers",2023,222.774
Australia,Female,"Occupation (ISCO-08), 2 digit level: 13 - Production and specialised services managers",2023,196.303
Australia,Female,"Occupation (ISCO-08), 2 digit level: 14 - Hospitality, retail and other services managers",2023,218.876
Australia,Female,"Occupation (ISCO-08), 2 digit level: 21 - Science and engineering professionals",2023,131.925
Australia,Female,"Occupation (ISCO-08), 2 digit level: 22 - Health professionals",2023,570.068
Australia,Female,"Occupation (ISCO-08), 2 digit level: 23 - Teaching professionals",2023,472.914
Australia,Female,"Occupation (ISCO-08), 2 digit level: 24 - Business and administration professionals",2023,385.141
Australia,Female,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2023,79.842
Australia,Female,"Occupation (ISCO-08), 2 digit level: 26 - Legal, social and cultural professionals",2023,248.919
