e,c,C,F,a,d,y,f,p,s,r,t,u
2477,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2024-08-20,2024.0,8000.0,Ana Hotels SRL,Accomodation and Hospitality,"Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.dataprotection.ro/?page=Comunicat_Presa_20.08.2024&lang=ro
2478,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2024-10-30,2024.0,15000.0,Untold SRL,Not assigned,"Art. 12 (3), (4) GDPR, Art. 15 GDPR, Art. 17 GDPR",Insufficient fulfilment of data subjects rights,https://www.dataprotection.ro/?page=Comunicat_Presa_30_10_2024&lang=ro
2479,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2024-11-04,2024.0,1000.0,Blackcab Systems SRL,Transportation and Energy,"Art. 12 (3) GDPR, Art. 15 (1), (3) GDPR",Insufficient fulfilment of data subjects rights,https://www.dataprotection.ro/?page=Comunicat_Presa_04_11_2024&lang=ro
2480,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-08-06,2024.0,2000.0,Private individual,Individuals and Private Associations,Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/documento/ps-00362-2023.pdf
2481,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-09-05,2024.0,3000.0,"PLAY FUL KIDS, S.L.",Not assigned,Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/documento/ps-00202-2023.pdf
2482,NORWAY,Norway,/flags/flag_norway.png,Norwegian Supervisory Authority (Datatilsynet),2024-10-21,2024.0,20800.0,Grue municipality,Public Sector and Education,"Art. 24 GDPR, Art. 32 (1) b) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2024/overtredelsesgebyr-til-grue-kommune/
2483,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2024-07-17,2024.0,80000.0,Selectra S.p.A.,Employment,"Art. 5 (1) a), c), e) GDPR, Art. 13 GDPR, Art. 88 GDPR, Art. 114 Codice della privacy",Non-compliance with general data processing principles,https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/1006611
2484,IRELAND,Ireland,/flags/flag_ireland.png,Data Protection Authority of Ireland,2024-12-17,2024.0,251000000.0,Meta Platforms Ireland Limited,"Media, Telecoms and Broadcasting","Art. 33 (3), (5) GDPR, Art. 25 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.dataprotection.ie/en/news-media/press-releases/irish-data-protection-commission-fines-meta-eu251-million
2485,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2024-10-18,2024.0,5800.0,Unknown,Not assigned,"Art. 37 (1) a) GDPR, Art. 37 (7) GDPR",Insufficient involvement of data protection officer,https://uodo.gov.pl/decyzje/DKN.5131.7.2024
2486,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-09-11,2024.0,600.0,"KVIKU SPAIN, S.L","Finance, Insurance and Consulting",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,https://www.aepd.es/documento/ps-00183-2024.pdf
2487,GERMANY,Germany,/flags/flag_germany.png,Data Protection Authority of Hamburg,2024-11-12,2024.0,900000.0,Debt collection service provider,"Finance, Insurance and Consulting","Art. 5 (1) a) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,https://datenschutz-hamburg.de/news/branchenweite-schwerpunktpruefung-im-forderungsmanagement
2488,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-10-04,2024.0,600.0,VOLTIUM CONSULTORES 2020,Not assigned,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,https://www.aepd.es/documento/ps-00314-2024.pdf
2489,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-10-18,2024.0,200000.0,"VODAFONE ESPAÑA, S.A.U.","Media, Telecoms and Broadcasting",Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/documento/ps-00486-2023.pdf
2490,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-11-19,2024.0,200000.0,"VODAFONE ESPAÑA, S.A.U.","Media, Telecoms and Broadcasting",Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/documento/ps-00083-2024.pdf
2491,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2024-11-20,2024.0,358000.0,Unknown,Not assigned,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 25 (1) GDPR, Art. 28 (1) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.uodo.gov.pl/decyzje/DKN.5130.2415.2020
2492,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2024-11-20,2024.0,4700.0,Unknown,Not assigned,"Art. 28 (3) c), f) GDPR, Art. 32 (1) , (2) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.uodo.gov.pl/decyzje/DKN.5130.2415.2020
2493,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2024-11-26,2024.0,6900.0,Hospital,Health Care,"Art. 33 (1) GDPR, Art. 34 (1), (2) GDPR",Insufficient fulfilment of data breach notification obligations,https://www.uodo.gov.pl/decyzje/DKN.5131.6.2024
2494,CROATIA,Croatia,/flags/flag_croatia.png,Croatian Data Protection Authority (azop),2024-09-13,2024.0,190000.0,Hospital,Health Care,"Art. 5 (1) e) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR, Art. 13 (1) c) GDPR, Art. 13 (2) a), b) GDPR, Art. 32 (1) b), Art. 33 (1) GDPR, Art. 38 (1) GDPR",Insufficient technical and organisational measures to ensure information security,https://azop.hr/izdane-nove-upravne-novcane-kazne-u-ukupnom-iznosu-od-270-700-eura/
2495,CROATIA,Croatia,/flags/flag_croatia.png,Croatian Data Protection Authority (azop),2024-09-13,2024.0,35700.0,Company,Not assigned,Unknown,Unknown,https://azop.hr/izdane-nove-upravne-novcane-kazne-u-ukupnom-iznosu-od-270-700-eura/
2496,CROATIA,Croatia,/flags/flag_croatia.png,Croatian Data Protection Authority (azop),2024-09-13,2024.0,45000.0,Hotel,Accomodation and Hospitality,Unknown,Unknown,https://azop.hr/izdane-nove-upravne-novcane-kazne-u-ukupnom-iznosu-od-270-700-eura/
2497,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2024-11-02,2024.0,15000000.0,OpenAI OpCo LLC,"Media, Telecoms and Broadcasting","Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/10085455
2498,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-11-07,2024.0,2000.0,"KAFFA KOFFEE ORGANISATION, S.L.",Industry and Commerce,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,https://www.aepd.es/documento/ps-00487-2023.pdf
2499,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-12-03,2024.0,300.0,Private individual,Individuals and Private Associations,Art. 13 GDPR,Insufficient fulfilment of information obligations,https://www.aepd.es/documento/reposicion-ps-00154-2023.pdf
2500,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-10-31,2024.0,12000.0,NEGOCIOS R&R 2020 S.L.,Industry and Commerce,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,https://www.aepd.es/documento/ps-00367-2024.pdf
2501,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-10-31,2024.0,4000.0,GESTIÓN DE VENTAS IBERIA S.L.,Industry and Commerce,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,https://www.aepd.es/documento/ps-00317-2024.pdf
2502,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-10-04,2024.0,900.0,Private individual,Individuals and Private Associations,Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority,https://www.aepd.es/documento/ps-00210-2024.pdf
