primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Saudi Arabia,0.00980392156862745,0.10784313725490197,0.27450980392156865,0.13725490196078433,0.09803921568627451,0.06862745098039216,0.00980392156862745,0.029411764705882353,0.049019607843137254,0.00980392156862745,0.049019607843137254,0.0,0.0196078431372549,0.00980392156862745,0.0,0.0,0.12745098039215685
Scotland,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Senegal,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
Serbia,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0967741935483871,0.06451612903225806,0.0,0.03225806451612903,0.03225806451612903,0.0,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.41935483870967744
Sierra Leone,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385
Singapore,0.07602339181286549,0.23391812865497075,0.23391812865497075,0.15204678362573099,0.07602339181286549,0.023391812865497075,0.04093567251461988,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0029239766081871343,0.005847953216374269,0.014619883040935672,0.0,0.008771929824561403,0.0,0.07894736842105263
Slovakia,0.0,0.0,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.47619047619047616
Slovenia,0.0,0.14705882352941177,0.11764705882352941,0.029411764705882353,0.08823529411764706,0.058823529411764705,0.0,0.0,0.029411764705882353,0.08823529411764706,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.08823529411764706,0.17647058823529413
South Africa,0.0,0.17616580310880828,0.14507772020725387,0.08808290155440414,0.10362694300518134,0.06217616580310881,0.05699481865284974,0.05181347150259067,0.07253886010362694,0.015544041450777202,0.02072538860103627,0.010362694300518135,0.025906735751295335,0.015544041450777202,0.0051813471502590676,0.010362694300518135,0.13989637305699482
South Korea,0.16009852216748768,0.29802955665024633,0.18719211822660098,0.09852216748768473,0.03940886699507389,0.04187192118226601,0.022167487684729065,0.009852216748768473,0.017241379310344827,0.024630541871921183,0.0,0.019704433497536946,0.012315270935960592,0.009852216748768473,0.0,0.0049261083743842365,0.054187192118226604
Spain,0.054679284963196635,0.1871713985278654,0.1640378548895899,0.1366982124079916,0.09674027339642481,0.05993690851735016,0.04416403785488959,0.033648790746582544,0.03890641430073607,0.03785488958990536,0.019978969505783387,0.016824395373291272,0.013669821240799159,0.013669821240799159,0.006309148264984227,0.011566771819137749,0.06414300736067298
Sri Lanka,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.6
Sweden,0.04891304347826087,0.16847826086956522,0.18206521739130435,0.1331521739130435,0.08695652173913043,0.0625,0.04755434782608696,0.03940217391304348,0.035326086956521736,0.03940217391304348,0.017663043478260868,0.016304347826086956,0.01358695652173913,0.016304347826086956,0.009510869565217392,0.008152173913043478,0.07472826086956522
Switzerland,0.14763779527559054,0.2440944881889764,0.18503937007874016,0.11876640419947507,0.06758530183727034,0.05183727034120735,0.03083989501312336,0.03543307086614173,0.017716535433070866,0.021653543307086614,0.013123359580052493,0.004593175853018373,0.005905511811023622,0.007874015748031496,0.005249343832020997,0.006561679790026247,0.03608923884514436
Taiwan,0.03409090909090909,0.14204545454545456,0.20454545454545456,0.13636363636363635,0.125,0.05113636363636364,0.011363636363636364,0.011363636363636364,0.028409090909090908,0.022727272727272728,0.03977272727272727,0.017045454545454544,0.03409090909090909,0.022727272727272728,0.011363636363636364,0.0,0.10795454545454546
Tanzania,0.03125,0.0625,0.09375,0.125,0.09375,0.09375,0.03125,0.15625,0.0,0.0,0.03125,0.0,0.0,0.0,0.03125,0.0,0.25
Thailand,0.0,0.10810810810810811,0.16216216216216217,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.05405405405405406,0.0,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.0,0.0,0.05405405405405406,0.02702702702702703,0.0,0.24324324324324326
The Philippines,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.5454545454545454
Tunisia,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4
Turkey,0.013888888888888888,0.09722222222222222,0.1111111111111111,0.09722222222222222,0.06944444444444445,0.125,0.09722222222222222,0.06944444444444445,0.041666666666666664,0.0,0.0,0.0,0.027777777777777776,0.013888888888888888,0.0,0.013888888888888888,0.2222222222222222
U.K,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,0.16333241984105235,0.2608933954508084,0.20060290490545354,0.11126335982460948,0.06659358728418745,0.046862154014798575,0.033433817484242255,0.023294053165250753,0.020279528637983008,0.016990956426418197,0.008769525897506167,0.006577144423129624,0.006851192107426692,0.006303096738832557,0.00356261989586188,0.003288572211564812,0.02110167169087421
UK [],0.0,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0
US,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0.4779883827575665,0.2581779272393763,0.11869458881076124,0.05311831244267808,0.029501681442983797,0.016738000611433813,0.01077652094160807,0.007948639559767655,0.005885050443289514,0.005273616630999694,0.002522164475695506,0.0017578722103332315,0.0021400183430143687,0.001681442983797004,0.0009171507184347294,0.000840721491898502,0.006037908896361969
Uganda,0.0,0.125,0.08333333333333333,0.125,0.125,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.25
Ukraine,0.0,0.11428571428571428,0.17142857142857143,0.02857142857142857,0.08571428571428572,0.02857142857142857,0.0,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.0,0.3142857142857143
United Arab Emirates,0.03773584905660377,0.20754716981132076,0.1320754716981132,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.0,0.0,0.11320754716981132,0.0,0.03773584905660377,0.0,0.03773584905660377,0.07547169811320754,0.018867924528301886,0.03773584905660377,0.1320754716981132
Venezuela,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.4666666666666667
