Growth Rate of Per Capita GDP at constant 2020 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
446,"China, Macao SAR",5.4,4.0,17.7,21.9,6.6,6.2,5.9,5.8,5.3,6.0,5.5,2.8,6.2,4.6,-3.0,2.7,10.0,3.8,1.2,4.3,0.5,10.3,2.7,1.9,1.1,-2.5,-2.2,-6.3,-4.0,4.0,1.1,6.3,8.5,23.2,5.2,10.4,11.5,0.8,-1.2,22.1,18.9,7.0,8.7,-3.9,-23.2,-2.6,7.8,4.4,-4.2,-55.2,20.5,-20.1,73.0,6.9
170,Colombia,3.4,5.2,4.3,3.4,0.1,2.5,1.9,6.0,3.0,1.7,-0.1,-1.4,-0.8,1.0,0.9,3.7,3.2,2.0,1.3,2.1,0.0,2.0,3.6,3.1,3.2,0.2,1.6,-1.2,-5.9,1.3,0.1,0.9,2.4,3.8,3.3,5.3,5.4,2.0,0.0,3.3,5.8,2.9,4.1,3.6,2.1,1.1,-0.1,0.7,1.4,-8.5,9.6,6.2,-0.4,0.7
174,Comoros,1.1,-1.0,3.8,-0.4,3.0,-3.0,0.6,-0.2,6.2,4.2,1.0,3.5,1.9,1.2,-0.8,-0.8,-1.1,-0.1,-4.2,-1.8,-0.7,6.3,1.1,-6.9,1.8,-3.0,2.4,-0.6,0.1,0.4,0.2,0.2,0.2,0.0,0.7,0.6,-17.8,1.9,4.4,2.7,3.8,4.2,6.6,1.7,-0.1,0.7,3.5,2.0,1.7,2.0,0.7,0.8,9.2,8.6
178,Congo,5.7,1.0,13.7,-3.9,-3.6,2.2,-9.6,3.6,8.7,10.2,18.6,20.9,3.4,4.6,-4.0,-9.6,-2.7,-2.9,-2.9,-3.6,0.5,1.3,-1.6,-4.3,1.1,0.7,-3.1,6.6,-6.2,7.6,-8.3,-1.4,-2.3,-3.6,5.3,4.0,-10.0,2.9,7.3,5.5,-1.1,6.9,-3.1,4.1,-2.0,-10.9,-7.9,-4.7,-0.6,-8.4,-3.8,-1.4,-0.5,-0.3
184,Cook Islands,-11.7,-11.4,7.0,4.3,2.1,-4.0,21.5,9.2,4.4,2.1,-3.8,3.6,1.8,16.7,10.3,9.7,-1.4,0.7,3.4,6.7,6.0,5.0,3.2,3.3,-4.9,-0.7,-1.1,2.4,6.4,18.4,9.9,6.6,5.4,3.4,0.0,6.0,1.4,1.4,-3.6,-9.3,-2.2,-6.9,-5.4,5.3,5.1,25.7,6.4,23.3,6.3,-33.3,2.2,24.8,14.9,11.1
188,Costa Rica,4.0,5.4,5.0,2.9,-0.5,2.8,6.1,3.5,2.1,-2.0,-4.9,-9.8,0.1,5.1,-2.0,2.7,2.0,0.8,3.0,1.0,-0.3,6.5,4.5,2.0,1.7,-1.0,3.1,4.9,2.1,1.9,1.7,1.7,2.7,2.9,2.5,5.8,6.8,3.3,-2.2,4.1,3.2,3.7,1.4,2.4,2.6,3.2,3.2,1.7,1.6,-4.9,7.4,4.1,4.6,3.8
384,C?te d'Ivoire,4.8,-0.3,1.2,-0.3,3.4,7.5,0.9,5.8,-2.0,-14.4,-0.6,-3.8,-7.7,-6.5,0.4,-0.7,-4.1,-2.7,7.6,-5.0,-3.8,-4.5,-4.3,-1.8,3.0,2.7,1.7,1.2,-1.3,-4.7,-2.5,-4.2,-3.8,-1.2,-0.7,-0.8,-0.6,0.2,1.0,5.3,-1.1,13.8,13.1,12.0,11.6,4.1,4.4,2.1,4.0,-1.8,4.4,3.8,3.8,3.4
191,Croatia,,,,,,,,,,,,,,,,,,,,,-20.9,-10.9,-7.0,7.1,9.3,7.4,7.5,3.6,0.5,4.4,3.7,5.7,5.5,4.1,4.2,5.0,5.0,2.0,-6.7,-1.1,0.4,-1.8,0.3,0.0,3.2,4.6,4.7,4.3,4.1,-7.6,13.5,7.8,3.6,4.5
192,Cuba,6.7,3.2,2.0,-0.3,8.3,4.4,7.8,5.9,0.6,-5.3,19.1,8.2,4.6,7.0,0.8,-0.8,-3.3,2.7,-0.3,-3.8,-11.4,-12.1,-15.3,0.3,2.1,7.5,2.4,-0.2,5.8,5.6,2.9,1.1,3.5,5.5,11.0,11.9,7.2,4.1,1.4,2.4,2.8,3.0,2.8,1.2,4.5,0.6,2.0,2.4,0.1,-10.7,1.7,2.3,-1.6,-0.7
531,Cura?ao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.7,1.4,-1.2,-0.6,-0.5,-1.8,-2.0,-1.8,-0.5,-1.8,-1.7,-9.1,-7.3,-16.4,4.0,6.9,4.2,5.0
